#,Address,BLOBZ,Points,snapshot_org,golden_blobz,silver_blobz,galxe_leaderboard,blobz_x_fwx,300_bitcoin,questn,gull_network,3960_jk,600_somdej,1000_lqdx,100_op,last_change_to_mint,blobz_invasion,get_golder_blobz,fwx_trading
134,0xD2b4Ad96Ff7a5A908054f92799D34B4C0733443C,4317,19,6,2,0,1,1,0,5,0,0,0,0,0,1,2,1,0
134,0xFED1b842a85B9F8402f716B24C2fB28A5BA42ebc,4317,19,3,2,2,1,1,0,5,1,0,0,0,0,0,2,1,1
134,0xbF530634f854038ba3Cf8Ed3a0f9F1c5D78DA3C1,4317,19,6,0,0,3,2,0,5,0,0,0,0,0,1,2,0,0
134,0xc4DA6319585Ff59912013338108ca895e48Ac733,4317,19,2,2,2,2,1,0,5,0,0,0,0,0,1,2,1,1
134,0xc9e791996Fbc748DC6f5763488ddaDEd4FF925d5,4317,19,6,0,0,1,1,1,5,1,1,1,0,0,0,2,0,0
168,0x09b93AbCA90eC10B8572d257Ed691c8F82Fc1A3c,4090,18,5,0,0,1,1,1,5,1,0,0,0,1,1,2,0,0
168,0x0EBA3c1E84866A65D99B116b2B3EA4529dA8916f,4090,18,3,1,1,1,1,0,5,1,0,0,0,0,1,2,1,1
168,0x0f291E90B3c8787c2C44E5f520CF237c234d9Dc8,4090,18,6,0,0,1,0,1,5,1,1,0,0,0,1,2,0,0
168,0x0f638C2CC65D72c1aecD056D1fDa2918126fBDFE,4090,18,6,0,0,1,1,1,5,1,0,1,0,0,0,2,0,0
168,0x1604EfA11c5b7392BFd161f6194EB7d636e01C31,4090,18,1,2,2,1,2,0,5,0,0,0,0,1,0,2,1,1
168,0x1D54eE6c2e15B168F35a578Ca2BCf49F6A46c473,4090,18,4,0,0,2,1,1,5,1,0,0,1,0,1,2,0,0
168,0x1f360E0a4632FF219c287053dDA8FF3690ad7aff,4090,18,6,0,0,1,2,0,5,1,0,1,0,0,0,2,0,0
168,0x2308dD5F290986C91028781A75c87844cEaad672,4090,18,6,0,0,1,2,0,5,1,0,1,0,0,0,2,0,0
168,0x2713Cc0aE67Ae09F29563881ab4fd5eb74f272a0,4090,18,5,0,0,1,2,0,5,1,0,1,0,0,1,2,0,0
168,0x27c1c08A4a12B005DB81521e42e3679710a8C5C8,4090,18,6,0,0,1,0,1,5,1,0,0,0,1,1,2,0,0
168,0x2EFDE0C4A678c6E29109a460C44E2A958d2Ec589,4090,18,6,0,0,1,1,1,5,0,0,1,0,0,1,2,0,0
168,0x2F75325eaA6A1aED5972e8d6bF40D536B4C545d4,4090,18,0,2,2,1,1,0,5,0,1,1,0,0,1,2,1,1
168,0x2c9e70dfEB48aA32B9aD7DA92e79Db921819DFC5,4090,18,0,2,2,1,1,1,5,1,0,0,0,0,1,2,1,1
168,0x3070665ff6e9d9877807C2C7db75dAd710C44d94,4090,18,6,0,0,1,2,0,5,0,0,1,0,0,1,2,0,0
168,0x34610Fd74786DC3a4384b83FECE9d22D1199A83d,4090,18,6,0,0,1,2,0,5,1,0,1,0,0,0,2,0,0
168,0x365943fbAAe1b764F3bb15E71977Ca58F9ed9a31,4090,18,6,0,0,1,1,0,5,1,0,1,0,0,1,2,0,0
168,0x492f2A6DEb1C7E298319d6fFf72CFDde13B4cB55,4090,18,1,2,2,1,1,0,5,1,0,1,0,0,0,2,1,1
168,0x5418c2A09109c285365Fb307632C91F093d8Cc9E,4090,18,6,0,0,1,1,1,5,1,0,1,0,0,0,2,0,0
168,0x556A257F8Ef54Cc0ab7EaBBfC74302047F528A6D,4090,18,6,0,0,3,0,0,5,0,0,1,0,0,1,2,0,0
168,0x57Bbf050D8920E133869949C0C3803AFfc4015b2,4090,18,6,0,0,1,1,0,5,1,0,1,0,0,1,2,0,0
168,0x5a06BA2C3a18c5d1876907d53e757eEA1ABBCcC7,4090,18,4,1,1,1,1,0,5,0,0,0,0,0,1,2,1,1
168,0x7368B89C3e1EFd216EA271a0e1E1F0e0d7Df085b,4090,18,3,2,2,1,1,0,5,1,0,1,0,0,0,0,1,1
168,0x7Edd0D7532AD40bB85d891C2E7201D656029060F,4090,18,6,0,0,1,1,1,5,1,0,1,0,0,0,2,0,0
